author,updated_at,like_count,text,public,language
@kalebsibarani4813,2024-01-20T16:28:18Z,0,Dusta bu,True,id
@firdausrachmatrr5447,2024-01-20T16:18:23Z,0,Ini baru tepat,True,id
@bukanyoutuber771,2024-01-20T13:39:22Z,0,Mobil diesel dan bensin bakal jadi mobil klasik di masa depan😅,True,id
@rantifindae7426,2024-01-20T13:35:00Z,1,Betul lebih cepat pengisian mobil listrik berbahaan bakar hidrogen ketimbang berbahan bakar baterai.,True,id
@siMeowGamimg,2024-01-20T13:16:46Z,0,"Mantep, maju terus 👍 

Cuman ya harga mobil/motor nya masih mahaaaalll 🤣

Dan jangan lupa semua nya hancur kalo presiden berikut nya yang dipilih malah gagal 🤷‍♂️",True,id
@lirikku5895,2024-01-20T12:50:23Z,0,"Indonesia, msih minim kendraan berbhan bkar hidrogen..😅,",True,id
@ikantuna6758,2024-01-20T11:42:23Z,0,Kalau yaman pakai air kencing sj😂,True,id
@lukasplayz4247,2024-01-20T11:33:49Z,2,Selangkah maju untuk Toyota Mirai,True,id
@thequrniawan,2024-01-20T11:33:39Z,0,"Yang menikmati yang punya duit sekarung, yang lain butuh 30 tahun lagi baru bisa menjangkau itu harga mobil nya 😂",True,id
@lupisjawa,2024-01-20T11:20:51Z,8,"lebih baik telat daripada tidak sama sekali, semoga kendaraan HFC bisa diadopsi lebih masif di negara kita dibanding negara maju lain yg kebanyakan meremehkan potensi mobil hidrogen dan lebih fokus EV.",True,id
@irfanchofficial7791,2024-01-20T11:20:00Z,0,Allhamdulilah semoga mobil hidrogen berkembang❤,True,id
@telkomselpoin3569,2024-01-20T09:09:27Z,0,keren indonesia❤ mantap pak ahok,True,id
@pandemiilmu2063,2024-01-20T08:56:13Z,0,kalo sudah yakin tehnologinya aman kenapa ngak dimulai dari sekarang.,True,id
@parky_riple,2023-11-06T12:23:33Z,0,yall are making me hungry fuck,True,id
@Pure_taste,2023-10-30T11:54:20Z,0,From Saudi Arabia 🇸🇦 🫶🏻,True,id
@Schulerr,2023-10-26T10:03:38Z,0,Halleluyah !🙏 On l'attendait !,True,id
@agussetiawan4410,2024-01-28T09:27:43Z,0,"Pertamina harus bisa memproduksi hidrogen sendiri bukan memproduksi mobilnya..🙏.  Kalau hidrogennya beli (import) ya akan jadi mahal sekali, terus BBM gak laku..?",True,id
@liaamalia2341,2023-07-21T23:50:18Z,0,Pertamina melakukan langkah yang sangat positif dengan fokus pada inovasi di bidang Energi Baru Terbarukan (EBT) untuk mendorong transisi energi,True,id
@yasminanisah1048,2023-07-21T23:50:00Z,0,Pengembangan ekosistem kendaraan berbasis hidrogen merupakan salah satu upaya penting untuk mengurangi emisi gas rumah kaca dan mengatasi isu perubahan iklim.,True,id
@aisyahdewi2174,2023-07-21T23:49:40Z,0,Kolaborasi dengan perusahaan otomotif terkenal seperti Toyota adalah keputusan strategis yang dapat mempercepat pengembangan teknologi kendaraan berbasis hidrogen,True,id
@lianurfadilah2795,2023-07-21T23:49:22Z,0,"Toyota sendiri telah memiliki komitmen yang kuat dalam mengembangkan kendaraan ramah lingkungan, termasuk kendaraan berbahan bakar sel hidrogen.",True,id
@fafatnhm9686,2023-07-21T23:49:02Z,0,"Inisiatif semacam ini juga dapat memberikan dampak positif pada industri lokal, menciptakan lapangan kerja baru, dan mendukung pertumbuhan ekonomi yang berkelanjutan.",True,id
@yuyunernachannel3913,2023-07-21T23:45:21Z,0,selalu mendukung Pertamina,True,id
@ariwibowo1552,2023-07-21T23:43:14Z,1,Semoga semua bisa berjalan dengan lancar,True,id
@ayucaca9802,2023-07-21T23:29:12Z,0,Yukk dukung pertamina😇,True,id
@kosnadi49,2023-07-21T22:38:44Z,0,Pertamina selalu berikan yang terbaik,True,id
@winwinstarla2120,2023-07-21T22:29:08Z,0,"Inovasi yang luar biasa ini sih, keren",True,id
@azanynasty635,2023-07-21T22:26:36Z,0,Keren deh! Transisi energi sudah semakin didepan mata,True,id
@nengine2050,2023-07-21T17:16:54Z,0,"Kolaborasi sama perusahaan otomotif kelas dunia, Toyota pula, gak main-main! Pasti bakal dapet teknologi canggih dan serba kekinian.",True,id
@newaja831,2023-07-21T17:15:06Z,1,"Nggak nyangka, Dulu kan kita lebih familiar sama minyak bumi, sekarang malah ada gebrakan keren kayak gini dari Pertamina. Bener-bener bikin bangga deh",True,id
@itsacp3073,2023-07-21T14:49:35Z,0,Support terus Pertamina 🔥🔥,True,id
@akumelfa8469,2023-07-21T14:22:50Z,0,Inovasi yg sangat hebat,True,id
@mellflubis2844,2023-07-21T14:21:44Z,0,Kolaborasi yg mantap,True,id
@masaldi4574,2023-07-21T14:20:23Z,0,Ini mantap sihh,True,id
@alisyakey3661,2023-07-21T13:56:28Z,0,mantap btul nih idenya,True,id
@mbaaya3333,2023-07-21T13:55:02Z,0,wahh keren bgt nih inovasinya,True,id
@nanikrusdiana1503,2023-07-21T09:14:43Z,0,Bea siswa anak pekerja & biaya sekolah anak pekerjanya pak🙏🙏⛽⛽⛽⛽⛽,True,id
@Ah-162,2024-02-04T16:58:54Z,0,"Mantaap,,,mari kita beralih dari migas ke hydro,,,lebih sehat",True,id
@kesyawaro8733,2024-01-24T23:38:14Z,0,semakin keren aja deh yaaa,True,id
@user-or5fg6em7b,2024-01-24T23:36:51Z,0,menunjukkan dedikasi Pertamina dalam memimpin perubahan positif masa depan transportasi Indonesia.,True,id
@user-xt2ld9zz2s,2024-01-24T23:36:16Z,0,merupakan wujud nyata komitmen Pertamina dalam memimpin transformasi transportasi di Indonesia menuju masa depan yang berkelanjutan.,True,id
